Name,Location,Year,Kilometers_Driven,Fuel_Type,Transmission,Owner_Type,Mileage,Engine,Power,Seats,New_price,Price,kilometers_driven_log,price_log,Brand,Model
Maruti Wagon R LXI CNG,Mumbai,2010,72000,CNG,Manual,First,26.6,998.0,58.16,5.0,11.57,1.75,11.184421397998193,0.5596157879354227,maruti,wagon
Hyundai Creta 1.6 CRDi SX Option,Pune,2015,41000,Diesel,Manual,First,19.67,1582.0,126.2,5.0,11.57,12.5,10.621327345686446,2.5257286443082556,hyundai,creta
Honda Jazz V,Chennai,2011,46000,Petrol,Manual,First,18.2,1199.0,88.7,5.0,8.61,4.5,10.736396675471232,1.5040773967762742,honda,jazz
Maruti Ertiga VDI,Chennai,2012,87000,Diesel,Manual,First,20.77,1248.0,88.76,7.0,11.57,6.0,11.37366339763672,1.791759469228055,maruti,ertiga
Audi A4 New 2.0 TDI Multitronic,Coimbatore,2013,40670,Diesel,Automatic,Second,15.2,1968.0,140.8,5.0,11.57,17.74,10.61324599890127,2.8758219768814333,audi,a4
Hyundai EON LPG Era Plus Option,Hyderabad,2012,75000,LPG,Manual,First,21.1,814.0,55.2,5.0,11.57,2.35,11.225243392518447,0.8544153281560676,hyundai,eon
Nissan Micra Diesel XV,Jaipur,2013,86999,Diesel,Manual,First,23.08,1461.0,63.1,5.0,11.57,3.5,11.373651903317787,1.252762968495368,nissan,micra
Toyota Innova Crysta 2.8 GX AT 8S,Mumbai,2016,36000,Diesel,Automatic,First,11.36,2755.0,171.5,8.0,21.0,17.5,10.491274217438248,2.8622008809294686,toyota,innova
Volkswagen Vento Diesel Comfortline,Pune,2013,64430,Diesel,Manual,First,20.54,1598.0,103.6,5.0,11.57,5.2,11.073334642132687,1.6486586255873816,volkswagen,vento
Tata Indica Vista Quadrajet LS,Chennai,2012,65932,Diesel,Manual,Second,22.3,1248.0,74.0,5.0,11.57,1.95,11.096379186851246,0.6678293725756554,tata,indica
Maruti Ciaz Zeta,Kochi,2018,25692,Petrol,Manual,First,21.56,1462.0,103.25,5.0,10.65,9.95,10.153934938377683,2.2975725511705014,maruti,ciaz
Honda City 1.5 V AT Sunroof,Kolkata,2012,60000,Petrol,Automatic,First,16.8,1497.0,116.3,5.0,11.57,4.49,11.002099841204238,1.501852701754163,honda,city
Maruti Swift VDI BSIV,Jaipur,2015,64424,Diesel,Manual,First,25.2,1248.0,74.0,5.0,11.57,5.6,11.07324151347538,1.7227665977411035,maruti,swift
Land Rover Range Rover 2.2L Pure,Delhi,2014,72000,Diesel,Automatic,First,12.7,2179.0,187.7,5.0,11.57,27.0,11.184421397998193,3.295836866004329,land,rover
Land Rover Freelander 2 TD4 SE,Pune,2012,85000,Diesel,Automatic,Second,0.0,2179.0,115.0,5.0,11.57,17.5,11.350406535472453,2.8622008809294686,land,rover
Mitsubishi Pajero Sport 4X4,Delhi,2014,110000,Diesel,Manual,First,13.5,2477.0,175.56,7.0,32.01,15.0,11.608235644774552,2.70805020110221,mitsubishi,pajero
Honda Amaze S i-Dtech,Kochi,2016,58950,Diesel,Manual,First,25.8,1498.0,98.6,5.0,11.57,5.4,10.984444905965518,1.6863989535702288,honda,amaze
Maruti Swift DDiS VDI,Jaipur,2017,25000,Diesel,Manual,First,28.4,1248.0,74.0,5.0,11.57,5.99,10.126631103850338,1.7900914121273581,maruti,swift
Renault Duster 85PS Diesel RxL Plus,Kochi,2014,77469,Diesel,Manual,First,20.45,1461.0,83.8,5.0,11.57,6.34,11.257633135320098,1.8468787684491346,renault,duster
Mercedes-Benz New C-Class C 220 CDI BE Avantgare,Bangalore,2014,78500,Diesel,Automatic,First,14.84,2143.0,167.62,5.0,11.57,28.0,11.2708539037705,3.332204510175204,mercedes-benz,new
BMW 3 Series 320d,Kochi,2014,32982,Diesel,Automatic,First,22.69,1995.0,190.0,5.0,47.87,18.55,10.403717237088715,2.920469789053444,bmw,3
Maruti S Cross DDiS 200 Alpha,Bangalore,2015,55392,Diesel,Manual,Second,23.65,1248.0,88.5,5.0,11.57,8.25,10.922190457975935,2.1102132003465894,maruti,s
Audi A6 2011-2015 35 TFSI Technology,Mumbai,2015,55985,Petrol,Automatic,First,13.53,1984.0,177.01,5.0,11.57,23.5,10.932839076694297,3.1570004211501135,audi,a6
Hyundai i20 1.2 Magna,Kolkata,2010,45807,Petrol,Manual,First,18.5,1197.0,80.0,5.0,11.57,1.87,10.73219219685162,0.6259384308664954,hyundai,i20
Volkswagen Vento Petrol Highline AT,Kolkata,2010,33000,Petrol,Automatic,First,14.4,1598.0,103.6,5.0,11.57,2.85,10.404262840448617,1.0473189942805592,volkswagen,vento
Honda City Corporate Edition,Mumbai,2012,51920,Petrol,Manual,First,16.8,1497.0,116.3,5.0,11.57,4.25,10.857459351377972,1.4469189829363254,honda,city
Nissan Micra Diesel XV,Hyderabad,2012,54000,Diesel,Manual,First,23.08,1461.0,63.1,5.0,11.57,4.25,10.896739325546411,1.4469189829363254,nissan,micra
Maruti Alto K10 2010-2014 VXI,Hyderabad,2013,54000,Petrol,Manual,Second,20.92,998.0,67.1,5.0,11.57,2.75,10.896739325546411,1.0116009116784799,maruti,alto
Honda WRV i-VTEC VX,Kochi,2018,37430,Petrol,Manual,First,17.5,1199.0,88.7,5.0,10.57,9.9,10.530227800898475,2.2925347571405443,honda,wrv
Toyota Innova 2.5 V Diesel 7-seater,Mumbai,2007,262000,Diesel,Manual,Fourth & Above,12.8,2494.0,102.0,7.0,11.57,4.0,12.476099782743233,1.3862943611198906,toyota,innova
Renault Duster 110PS Diesel RxZ Pack,Bangalore,2013,62000,Diesel,Manual,First,19.01,1461.0,108.45,5.0,11.57,7.75,11.03488966402723,2.0476928433652555,renault,duster
Toyota Corolla Altis G,Delhi,2012,87615,Petrol,Manual,First,14.53,1798.0,138.1,5.0,11.57,6.75,11.38070749514252,1.9095425048844386,toyota,corolla
Mahindra Ssangyong Rexton RX7,Bangalore,2013,72000,Diesel,Automatic,Second,11.18,2696.0,184.0,7.0,11.57,12.5,11.184421397998193,2.5257286443082556,mahindra,ssangyong
Audi A6 2.7 TDI,Kolkata,2010,35000,Diesel,Automatic,First,12.4,2698.0,179.5,5.0,11.57,11.5,10.46310334047155,2.4423470353692043,audi,a6
Volkswagen Vento 1.6 Highline,Coimbatore,2014,55431,Petrol,Manual,Second,16.09,1598.0,103.5,5.0,12.33,6.98,10.922894283023263,1.9430489167742813,volkswagen,vento
Maruti Wagon R LXI BSIII,Jaipur,2009,83816,Petrol,Manual,Second,14.0,1061.0,64.0,5.0,11.57,1.85,11.3363791990328,0.6151856390902335,maruti,wagon
Maruti Vitara Brezza ZDi Plus,Kochi,2018,50075,Diesel,Manual,First,24.3,1248.0,88.5,5.0,11.12,8.63,10.821277160534018,2.155244505095337,maruti,vitara
Mahindra KUV 100 mFALCON G80 K6 5str AW,Delhi,2017,52000,Petrol,Manual,First,18.15,1198.0,82.0,5.0,11.57,4.85,10.858998997563564,1.5789787049493917,mahindra,kuv
Mercedes-Benz M-Class ML 350 CDI,Pune,2013,85000,Diesel,Automatic,First,11.74,2987.0,254.8,5.0,11.57,28.0,11.350406535472453,3.332204510175204,mercedes-benz,m-class
Volkswagen Polo Diesel Trendline 1.2L,Chennai,2013,62000,Diesel,Manual,First,22.07,1199.0,73.9,5.0,11.57,5.0,11.03488966402723,1.6094379124341003,volkswagen,polo
